Clone529,0,"[[-0.02505717  0.12740751  0.0600613   0.14079456  0.06908475  0.07226717
   0.05490252]]","[[ 0.02505717 -0.12740752 -0.06006131 -0.14079455 -0.06908474 -0.07226718
  -0.05490254]]"
Clone86,0,"[[0.06205307 0.06329591 0.0636248  0.06664408 0.06324671 0.05870038
  0.06134529 0.06023075]]","[[-0.06205307 -0.06329592 -0.06362478 -0.06664407 -0.0632467  -0.05870038
  -0.06134528 -0.06023075]]"
Clone20,0,"[[0.06020511 0.05084526 0.06617701 0.07924772 0.0737119  0.08273785
  0.08031407]]","[[-0.06020513 -0.05084526 -0.06617704 -0.07924773 -0.0737119  -0.08273786
  -0.08031406]]"
Clone459,1,"[[-0.07048592 -0.06762204 -0.06038729 -0.03295203 -0.06249383 -0.06887148
  -0.07601426]]","[[0.07048592 0.06762203 0.06038728 0.03295203 0.06249383 0.06887147
  0.07601425]]"
Clone364,1,"[[-0.06153233 -0.06432382 -0.06100032 -0.0594496  -0.05472603 -0.05834975
  -0.0552387  -0.05098735]]","[[0.06153234 0.06432383 0.06100033 0.05944961 0.05472603 0.05834974
  0.05523871 0.05098734]]"
Clone707,1,"[[-0.07435138 -0.06039728 -0.06622661 -0.02622819 -0.06579924 -0.06486645
  -0.07756285]]","[[0.07435138 0.06039729 0.06622662 0.0262282  0.06579924 0.06486645
  0.07756284]]"
Clone589,0,"[[ 0.06403588  0.00266558  0.06946734  0.02617698  0.07788381  0.15942162
  -0.00098689  0.05609367  0.04518168]]","[[-0.06403588 -0.00266558 -0.06946734 -0.02617699 -0.07788381 -0.15942161
   0.00098688 -0.05609367 -0.04518169]]"
Clone530,0,"[[-0.030482    0.13299811  0.07156854  0.14708178  0.05875686  0.0711082
   0.04833319]]","[[ 0.030482   -0.13299812 -0.07156854 -0.14708179 -0.05875688 -0.0711082
  -0.04833319]]"
Clone132,0,"[[0.10869914 0.05217042 0.00366794 0.03874376 0.1670218  0.03840485
  0.05359656 0.03660955]]","[[-0.10869915 -0.05217042 -0.00366794 -0.03874377 -0.1670218  -0.03840486
  -0.05359656 -0.03660955]]"
Clone660,1,"[[-0.03952612 -0.03112154 -0.05491884 -0.04603681 -0.08828794 -0.04639406
  -0.07002134 -0.01232049]]","[[0.03952612 0.03112155 0.05491883 0.0460368  0.08828794 0.04639406
  0.07002134 0.01232048]]"
Clone963,1,"[[ 0.03077205  0.02495248 -0.08152532 -0.04813398 -0.03394893 -0.0293685
  -0.13022952 -0.07578112 -0.00054949]]","[[-0.03077206 -0.02495249  0.08152532  0.04813399  0.03394892  0.02936849
   0.13022951  0.07578111  0.00054949]]"
Clone18,0,"[[0.04761014 0.06962111 0.06684206 0.07355505 0.07070558 0.06671677
  0.0667039  0.03802633]]","[[-0.04761015 -0.06962111 -0.06684206 -0.07355504 -0.07070559 -0.06671676
  -0.0667039  -0.03802634]]"
Clone944,0,"[[0.07095889 0.07051239 0.06997166 0.06988785 0.06979297 0.06990201
  0.07025509]]","[[-0.07095888 -0.07051238 -0.06997165 -0.06988785 -0.06979296 -0.069902
  -0.07025508]]"
Clone136,0,[[0.08319492 0.08335943 0.08301704 0.08347739 0.08333322 0.08344574]],[[-0.08319492 -0.08335944 -0.08301706 -0.0834774  -0.08333322 -0.08344572]]
Clone608,1,"[[-0.02677925 -0.10728923 -0.08398508 -0.1269885   0.03803907  0.01378633
  -0.01203599 -0.05410302 -0.02416563]]","[[ 0.02677926  0.10728923  0.08398509  0.1269885  -0.03803906 -0.01378634
   0.01203599  0.05410301  0.02416563]]"
Clone304,0,"[[0.07091082 0.07126865 0.07098646 0.07108509 0.07108721 0.07107511
  0.07098219]]","[[-0.07091081 -0.07126866 -0.07098643 -0.07108509 -0.07108723 -0.07107509
  -0.07098216]]"
Clone537,1,"[[-3.33745857e-02  7.74618770e-05  2.42815913e-02 -3.44142960e-02
  -2.36269511e-03 -1.66100898e-02  1.85094093e-02 -8.54179109e-03
  -3.50036478e-02]]","[[ 3.33745733e-02 -7.74774072e-05 -2.42815919e-02  3.44142874e-02
   2.36268367e-03  1.66100863e-02 -1.85094124e-02  8.54177905e-03
   3.50036554e-02]]"
Clone887,1,"[[-0.06544431 -0.05548148 -0.0497814  -0.04896618 -0.05271663 -0.04787486
  -0.06072052 -0.06395717]]","[[0.06544429 0.05548147 0.04978137 0.04896618 0.05271662 0.04787487
  0.06072051 0.06395717]]"
Clone779,1,"[[-0.04639372 -0.05073438 -0.04551886 -0.04183943 -0.0431035  -0.04591954
  -0.04376839 -0.04755682 -0.04368112 -0.04502031]]","[[0.04639372 0.05073438 0.04551885 0.04183943 0.04310351 0.04591954
  0.0437684  0.04755682 0.04368112 0.04502031]]"
Clone940,1,"[[-0.04584395 -0.04126784 -0.05104882 -0.05114009 -0.04557558 -0.05893029
  -0.06739826]]","[[0.04584395 0.04126781 0.0510488  0.05114008 0.04557558 0.05893027
  0.06739825]]"
Clone852,0,"[[0.06452384 0.06458887 0.06467638 0.06462701 0.08053588 0.08050511
  0.08052169]]","[[-0.06452382 -0.06458889 -0.06467637 -0.06462701 -0.08053588 -0.08050513
  -0.08052168]]"
Clone561,0,"[[0.064074   0.0641103  0.06429099 0.06415313 0.08059202 0.08054199
  0.08057263]]","[[-0.064074   -0.0641103  -0.06429098 -0.06415313 -0.08059201 -0.08054199
  -0.08057262]]"
Clone557,0,[[0.09959541 0.09933151 0.09948876 0.06727679 0.06717749 0.06705386]],[[-0.09959539 -0.0993315  -0.09948876 -0.06727679 -0.06717748 -0.06705385]]
Clone370,1,[[-0.08323109 -0.00355519 -0.0811648  -0.0803472  -0.10166774 -0.10554154]],[[0.08323108 0.00355518 0.08116481 0.0803472  0.10166773 0.10554152]]
Clone125,1,"[[-0.05995945 -0.01835836 -0.03728271 -0.05463599 -0.06144812 -0.05457628
  -0.05339228 -0.04994129]]","[[0.05995944 0.01835837 0.03728269 0.05463598 0.06144811 0.05457628
  0.05339227 0.04994129]]"
Clone941,1,"[[-0.05082091 -0.04722396 -0.04781607 -0.04965769 -0.04776393 -0.05239938
  -0.04952961 -0.04783819 -0.04621754 -0.04497127]]","[[0.05082091 0.04722397 0.04781607 0.0496577  0.04776393 0.05239939
  0.0495296  0.04783819 0.04621753 0.04497127]]"
Clone711,1,[[-0.09670213 -0.09192488 -0.09802736 -0.09798961 -0.09009604]],[[0.09670213 0.09192488 0.09802735 0.0979896  0.09009607]]
Clone813,1,[[-0.06661046 -0.0681046  -0.06757717 -0.0520622  -0.05919824 -0.06973258]],[[0.06661047 0.06810462 0.06757716 0.05206219 0.05919825 0.06973259]]
Clone363,0,"[[0.05508829 0.05311683 0.04863145 0.05168448 0.05029177 0.04818928
  0.04794995 0.04982486 0.04807741 0.04704793]]","[[-0.05508829 -0.05311683 -0.04863145 -0.05168448 -0.05029177 -0.04818927
  -0.04794995 -0.04982487 -0.04807741 -0.04704793]]"
Clone701,1,"[[-0.04875895 -0.04966807 -0.04807384 -0.05220445 -0.05037425 -0.04772352
  -0.05362253 -0.04982202 -0.04952777]]","[[0.04875896 0.04966808 0.04807383 0.05220445 0.05037424 0.04772351
  0.05362253 0.04982201 0.04952779]]"
Clone867,1,[[ 0.07835536 -0.2170315  -0.22540439  0.0136457  -0.1014591   0.00160406]],[[-0.07835535  0.21703154  0.22540439 -0.0136457   0.10145909 -0.00160407]]
Clone911,0,[[0.09274865 0.0954312  0.09640363 0.06612891 0.06383823 0.05723277]],[[-0.09274863 -0.0954312  -0.09640365 -0.06612891 -0.06383821 -0.05723274]]
